"Time spent on schoolwork at home","Learned less at home","Learned about same at home","Learned more at home"
"Less time","66% (648)","21% (207)","13% (128)"
"Same amount of time","37% (185)","40% (203)","23% (118)"
"More time","36% (174)","29% (141)","35% (171)"
